EMPRESA	TICKER	CNPJ
3R PETROLEUM	RRRP3	12.091.809/0001-55
3TENTOS	TTEN3	94.813.102/0001-70
AERIS	AERI3	12.528.708/0001-07
AES TIETE ENERGIA	TIET11/TIET3/TIET4	04.128.563/0001-10
AGROGALAXY	AGXY3	21.240.146/0001-84
ALLIED	ALLD3	20.247.322/0001-47
ALPARGATAS	ALPA3/ALPA4	61.079.117/0001-05
ALPHAVILLE	AVLL3	16.811.931/0001-00
ALUPAR INVESTIMENTO	ALUP11/ALUP3/ALUP4	08.364.948/0001-38
AMBEV	ABEV3	07.526.557/0001-00
AMBIPAR	AMBP3	12.648.266/0001-24
ANIMA HOLDING	ANIM3	09.288.252/0001-32
AREZZO INDÚSTRIA E COMÉRCIO	ARZZ3	16.590.234/0001-76
ARMAC	ARML3	00.242.184/0001-04
ATACADÃO	CRFB3	75.315.333/0001-09
ATOM	ATOM3	00.359.742/0001-08
AUREN ENERGIA	AURE3	28.594.234/0001-23
AZUL	AZUL4	09.305.994/0001-29
B2W – COMPANHIA DIGITAL	BTOW3	00.776.574/0001-56
B3 – BRASIL – BOLSA – BALCÃO	B3SA3	09.346.601/0001-25
BANCO ABC BRASIL	ABCB4	28.195.667/0001-06
BANCO BMG	BMGB4	61.186.680/0001-74
BANCO BRADESCO	BBDC3/BBDC4	60.746.948/0001-12
BANCO BTG PACTUAL	BPAC11/BPAC3/BPAC5	30.306.294/0001-45
BANCO DO BRASIL	BBAS3	00.000.000/0001-91
BANCO PAN	BPAN4	59.285.411/0001-13
BANCO PINE	PINE3/PINE4	62.144.175/0001-20
BANCO SANTANDER	SANB11/SANB3/SANB4	90.400.888/0001-42
BANRISUL	BRSR3/BRSR5/BRSR6	92.702.067/0001-96
BB SEGURIDADE	BBSE3	17.344.597/0001-94
BEMOBI	BMOB3	09.042.817/0001-05
BIOSEV	BSEV3	15.527.906/0001-36
BLAU FARMACÊUTICA	BLAU3	58.430.828/0001-60
BOA SAFRA	SOJA3	10.807.374/0001-77
BOA VISTA	BOAS3	11.725.176/0001-27
BOMBRIL	BOBR3/BOBR4	50.564.053/0001-03
BR MALLS PARTICIPACOES	BRML3	06.977.745/0001-91
BR PARTNERS	BRBI11	10.739.356/0001-03
BR PROPERTIES	BRPR3	06.977.751/0001-49
BRADESPAR	BRAP3/BRAP4	03.847.461/0001-92
BRASIL BROKERS	BBRK3	08.613.550/0001-98
BRASILAGRO	AGRO3	07.628.528/0001-59
BRASKEM	BRKM3/BRKM5/BRKM6	42.150.391/0001-70
BRF	BRFS3	01.838.723/0001-27
BRISANET	BRIT3	19.796.586/0001-70
C&A MODAS	CEAB3	45.242.914/0001-05
CAIXA SEGURIDADE	CXSE3	22.543.331/0001-00
CAMIL ALIMENTOS	CAML3	64.904.295/0001-03
CBA	CBAV3	61.409.892/0001-73
CCR	CCRO3	02.846.056/0001-97
CENTAURO	CNTO3	13.217.485/0001-11
CENTRO DE IMAGEM DIAGNOSTICOS	AALR3	42.771.949/0001-35
CIA BRASILEIRA DE DISTRIBUICAO	PCAR3/PCAR4	47.508.411/0001-56
CIA ENERGETICA DE MINAS GERAIS – CEMIG	CMIG3/CMIG4	17.155.730/0001-64
CIA ENERGETICA DE PERNAMBUCO – CELPE	CEPE3/CEPE5/CEPE6	10.835.932/0001-08
CIA ENERGETICA DO CEARA – COELCE	COCE3/COCE5/COCE6	07.047.251/0001-70
CIA FERRO LIGAS DA BAHIA – FERBASA	FESA3/FESA4	15.141.799/0001-03
CIA GAS DE SAO PAULO – COMGAS	CGAS3/CGAS5	61.856.571/0001-17
CIA LOCAÇÃO DAS AMÉRICAS	LCAM3	10.215.988/0001-60
CIA SANEAMENTO BASICO SAO PAULO – SABESP	SBSP3	43.776.517/0001-80
CIA SANEAMENTO DE MINAS GERAIS – COPASA	CSMG3	17.281.106/0001-03
CIA SANEAMENTO DO PARANA – SANEPAR	SAPR11/SAPR3/SAPR4	76.484.013/0001-45
CIA SIDERURGICA NACIONAL	CSNA3	33.042.730/0001-04
CIA TECIDOS NORTE DE MINAS COTEMINAS	CTNM3/CTNM4	22.677.520/0001-76
CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA – CTEEP	TRPL3/TRPL4	02.998.611/0001-04
CIELO	CIEL3	01.027.058/0001-91
CLEAR SALE	CLSA3	03.802.115/0001-98
COGNA EDUCAÇÃO	COGN3	02.800.026/0001-40
CONSTRUTORA TENDA	TEND3	71.476.527/0001-35
COSAN	CSAN3	50.746.577/0001-15
CPFL ENERGIA	CPFE3	02.429.144/0001-93
CREMER	CREM3	82.641.325/0001-18
CRUZEIRO DO SUL EDUCACIONAL	CSED3	62.984.091/0001-02
CSN MINERAÇÃO	CMIN3	08.902.291/0001-15
CSU CARDSYSTEM	CARD3	01.896.779/0001-38
CURY	CURY3	08.797.760/0001-83
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS	CVCB3	10.760.260/0001-19
CYRELA BRAZIL REALTYEMPREEND E PART	CYRE3	73.178.600/0001-18
CYRELA COMMERCIAL PROPERTIES	CCPR3	08.801.621/0001-86
D1000	DMVF3	12.108.897/0001-50
DESKTOP	DESK3	08.170.849/0001-15
DEXCO	DXCO3	97.837.181/0001-47
DIRECIONAL ENGENHARIA	DIRR3	16.614.075/0001-00
DOMMO	DMMO3	08.926.302/0001-05
